Question,Answer,Answer Type,Hop,Topic,Link
When did Andrew Carnegie emigrated?,1848,Date,OneHop,1,https://www.cmu.edu/about/history.html
How much did Andrew Carnegie donated to create Carnegie Technical Schools?,one million,Numeric,OneHop,1,https://www.cmu.edu/about/history.html
Who got the first doctorate degree in Carnegie Tech?,Mao Yisheng,Person,OneHop,1,https://www.cmu.edu/about/history.html
Which state is CMU located?,Pennsylvania,Location,OneHop,1,https://www.cmu.edu/about/history.html
What was the original name of Tepper School of Business?,Graduate School of Industrial Administration,Organization,OneHop,1,https://www.cmu.edu/about/history.html
Which Carnegie Technical Schools had to close for gender equality?,Margaret Morrison Carnegie College,Organization,MultiHop,1,https://www.cmu.edu/about/history.html
Which school provides graduate training for public sector work?,H. John Heinz III College,Organization,OneHop,1,https://www.cmu.edu/about/history.html
When did the merger for Carnegie Tech and Mellon Institute happen?,1967,Date,OneHop,1,https://www.cmu.edu/about/history.html
Who is the Nobel laurate who also created the Logic Theorist?,Herb Simon,Person,MultiHop,1,https://www.cs.cmu.edu/scs25/25things
When is C.mmp created?,1971,Date,OneHop,1,https://www.cs.cmu.edu/scs25/25things
What is the name of the first speech recognition system made by Raj Reddy?,Hearsay I,OtherEntity,OneHop,1,https://www.cs.cmu.edu/scs25/25things
When was Emoticons invented?,1982,Date,OneHop,1,https://www.cs.cmu.edu/scs25/25things
Who made the robot that cleaned the Three Mile Island nuclear plant?,Red Whittaker,Person,MultiHop,1,https://www.cs.cmu.edu/scs25/25things
What is the name of the kernel made by Rick Rashid?,Mach kernel,OtherEntity,OneHop,1,https://www.cs.cmu.edu/scs25/25things
What is the name of the famous computer language that is made by a graduate student that worked on the Andrew project?,Java,OtherEntity,MultiHop,1,https://www.cs.cmu.edu/scs25/25things
Which CMU professor helped building CAPTCHA?,Manuel Blum,Person,OneHop,1,https://www.cs.cmu.edu/scs25/25things
When did Duolingo developed?,2010,Date,MultiHop,1,https://www.cs.cmu.edu/scs25/25things
Which CMU alumna was awarded with the 2012 Turing Award?,Shafi Goldwasser,Person,OneHop,1,https://www.cs.cmu.edu/scs25/25things
Who wrote a white paper with Angel Jordan to create the CMU SCS?,Nico Habermann,Person,OneHop,1,https://www.cs.cmu.edu/scs25/history
Who wrote a white paper with the future first dean of CMU SCS to create the CMU SCS?,Angel Jordan,Person,MultiHop,1,https://www.cs.cmu.edu/scs25/history
How many departments are there in CMU SCS?,seven,Numeric,OneHop,1,https://www.cs.cmu.edu/scs25/history
Which SCS department was formed in 1993?,Human-Computer Interaction Institute,Organization,OneHop,1,https://www.cs.cmu.edu/scs25/history
Which SCS department was formed between 2000 and 2008?,Machine Learning Department,Organization,MultiHop,1,https://www.cs.cmu.edu/scs25/history
When did IBM 650 computer arrive to CMU?,1956,Date,OneHop,1,https://www.cs.cmu.edu/scs25/history
"Which has a bigger graduate population, US or international?",International,OtherEntity,MultiHop,1,https://www.cmu.edu/about/cmu_fact_sheet_02.pdf
"Which has a bigger undergraduate population, US or international?",US,OtherEntity,MultiHop,1,https://www.cmu.edu/about/cmu_fact_sheet_02.pdf
How many schools and colleges are in CMU?,seven,Numeric,MultiHop,1,https://www.cmu.edu/about/cmu_fact_sheet_02.pdf
Who is the president of CMU?,Farnam Jahanian,Person,OneHop,1,https://www.cmu.edu/about/cmu_fact_sheet_02.pdf
What other name is known for the CMU Buggy Races?,Sweepstakes,OtherEntity,OneHop,1,https://www.cmu.edu/news/stories/archives/2019/april/spring-carnival-buggy.html
How many pushers are needed for the Sweepstakes?,five,Numeric,OneHop,1,https://www.cmu.edu/news/stories/archives/2019/april/spring-carnival-buggy.html
Which class is offered in the Fall by the author of ESPnet?,Speech Recognition and Understanding,OtherEntity,MultiHop,2,
Who was the founder of CMU?,Andrew Carnegie,Person,OneHop,1,https://athletics.cmu.edu/athletics/tartanfacts
